"","classes","sdg1_weight","sdg2_weight","sdg3_weight","sdg4_weight","sdg5_weight","sdg6_weight","sdg7_weight","sdg8_weight","sdg9_weight","sdg10_weight","sdg11_weight","sdg12_weight","sdg13_weight","sdg14_weight","sdg15_weight","sdg16_weight","sdg17_weight","total_weight"
"1","ACAD-174",0.13,NA,NA,NA,NA,NA,NA,0.57,9.05,NA,NA,0.43,NA,NA,NA,NA,1,11.18
"2","ACAD-176",NA,NA,NA,NA,NA,NA,NA,NA,1.46,NA,NA,0.5,NA,NA,NA,NA,NA,1.96
"3","ACAD-177",NA,NA,NA,NA,NA,NA,NA,1.39,12.3,NA,NA,0.43,NA,NA,NA,NA,1,15.12
"4","ACAD-178",NA,NA,NA,NA,NA,NA,NA,1.39,11.88,NA,NA,0.43,NA,NA,NA,NA,1,14.7
"5","ACAD-180",NA,NA,NA,NA,NA,NA,NA,NA,3.9,NA,NA,NA,NA,NA,NA,NA,NA,3.9
"6","ACAD-181",0.9,NA,NA,0.4,0.18,NA,NA,1.39,9.1,0.27,0.65,0.43,NA,NA,NA,0.3,1,14.62
"7","ACAD-182",NA,NA,NA,NA,NA,NA,NA,2.15,9.29,NA,NA,0.72,NA,NA,0.07,NA,2,14.23
"8","ACAD-187",NA,0.36,NA,NA,NA,0.47,0.38,3.63,17.7,NA,NA,3.46,2.54,0.39,1.79,NA,1,31.72
"9","ACAD-188",NA,NA,NA,NA,NA,NA,NA,0.59,2.36,NA,NA,NA,NA,NA,NA,NA,1,3.95
"10","ACAD-189",NA,NA,NA,NA,NA,NA,NA,0.59,2.36,NA,NA,NA,NA,NA,NA,NA,1,3.95
"11","ACAD-207",NA,NA,NA,NA,NA,NA,NA,0.49,3.97,NA,NA,NA,NA,NA,NA,NA,NA,4.46
"12","ACAD-240",NA,NA,NA,0.4,NA,NA,NA,NA,0.48,NA,NA,0.5,NA,NA,NA,NA,NA,1.38
"13","ACAD-245",NA,NA,NA,NA,NA,NA,NA,NA,1.25,NA,NA,NA,NA,NA,NA,NA,NA,1.25
"14","ACAD-275",0.05,NA,NA,NA,NA,NA,NA,0.16,0.97,NA,NA,NA,NA,NA,NA,NA,NA,1.18
"15","ACAD-276",NA,NA,NA,NA,NA,NA,NA,NA,1.31,NA,NA,NA,NA,NA,NA,NA,NA,1.31
"16","ACAD-277",NA,NA,NA,NA,NA,NA,NA,NA,1.66,NA,NA,NA,NA,NA,NA,NA,NA,1.66
"17","ACAD-280",NA,NA,NA,NA,NA,NA,NA,NA,1.1,NA,NA,NA,NA,NA,NA,NA,NA,1.1
"18","ACAD-309",NA,NA,NA,NA,0.18,NA,NA,NA,NA,0.27,0.65,NA,NA,NA,NA,0.3,NA,1.4
"19","ACAD-324",NA,NA,NA,NA,NA,NA,NA,0.57,6.53,NA,0.57,0.43,NA,NA,NA,NA,1,9.1
"20","ACAD-345",0.05,NA,NA,NA,NA,NA,NA,0.16,1.39,NA,NA,NA,NA,NA,NA,NA,NA,1.6
"21","ACAD-360",NA,NA,NA,NA,NA,NA,NA,NA,2.22,NA,NA,NA,NA,NA,NA,NA,NA,2.22
"22","ACAD-376",NA,NA,NA,NA,NA,NA,NA,1.06,8.12,NA,NA,0.43,NA,NA,NA,NA,1,10.61
"23","ACAD-377",NA,NA,NA,NA,NA,NA,NA,1.88,10.7,NA,NA,0.43,NA,NA,NA,NA,1,14.01
"24","ACAD-475A",NA,NA,NA,NA,NA,NA,NA,NA,8.86,NA,NA,0.43,NA,NA,NA,NA,1,10.29
"25","ACAD-475B",NA,NA,NA,NA,NA,NA,NA,NA,8.86,NA,NA,0.43,NA,NA,NA,NA,1,10.29
"26","ACAD-590",NA,NA,NA,NA,NA,NA,NA,NA,0.48,NA,NA,NA,NA,NA,NA,NA,1,1.48
"27","ACCT-370",NA,NA,NA,NA,NA,NA,NA,1.07,NA,0.66,NA,NA,NA,NA,NA,NA,1,2.73
"28","ACCT-371",NA,NA,NA,NA,NA,NA,NA,2.46,2.71,1.1,NA,NA,NA,NA,NA,NA,NA,6.27
"29","ACCT-372",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
"30","ACCT-373",NA,NA,NA,NA,NA,NA,NA,NA,0.28,NA,NA,NA,NA,NA,NA,NA,NA,0.28
"31","ACCT-374",0.56,NA,NA,NA,NA,NA,NA,NA,0.62,NA,NA,NA,NA,NA,NA,NA,NA,1.18
"32","ACCT-377",NA,NA,NA,NA,NA,NA,NA,1.4,NA,0.66,0.72,NA,NA,NA,NA,NA,NA,2.78
"33","ACCT-380",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"34","ACCT-385",2.59,NA,NA,NA,NA,NA,NA,2.16,0.48,NA,NA,NA,NA,NA,NA,NA,NA,5.23
"35","ACCT-410",NA,NA,NA,NA,NA,NA,NA,3.28,0.76,1.1,NA,NA,NA,NA,NA,NA,NA,5.14
"36","ACCT-415",0.34,NA,NA,NA,NA,NA,NA,3.52,NA,1.1,NA,NA,NA,NA,NA,NA,1,5.96
"37","ACCT-416",NA,NA,NA,NA,NA,NA,NA,1.07,0.14,0.66,NA,0.07,NA,NA,NA,NA,NA,1.94
"38","ACCT-430",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.29,NA,NA,0.07,NA,NA,0.36
"39","ACCT-462",NA,NA,NA,NA,NA,NA,NA,1.48,NA,0.66,NA,1.01,NA,NA,0.64,NA,NA,3.79
"40","ACCT-470",NA,NA,NA,NA,NA,NA,NA,4.35,2.17,1.1,NA,NA,NA,NA,NA,NA,NA,7.62
"41","ACCT-473",NA,NA,NA,NA,NA,NA,NA,1.07,NA,0.66,NA,NA,NA,NA,NA,NA,NA,1.73
"42","ACCT-474",0.22,NA,NA,NA,NA,NA,NA,1.89,1.4,NA,NA,NA,0.39,NA,NA,NA,NA,3.9
"43","ACCT-493",NA,NA,NA,NA,NA,NA,NA,NA,0.28,NA,NA,NA,NA,NA,NA,NA,2,2.28
"44","ACCT-494",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3
"45","ACCT-509",NA,NA,NA,NA,NA,NA,NA,3.77,1.18,1.1,NA,NA,NA,NA,NA,NA,NA,6.05
"46","ACCT-525",0.22,NA,NA,NA,NA,NA,NA,1.39,0.63,0.44,NA,NA,NA,NA,NA,NA,NA,2.68
"47","ACCT-526",1.52,NA,NA,NA,NA,NA,NA,6.57,0.9,1.06,0.65,NA,0.26,NA,NA,1.03,NA,11.99
"48","ACCT-527",NA,NA,NA,NA,NA,NA,NA,2.79,0.69,1.1,NA,0.07,NA,NA,NA,NA,NA,4.65
"49","ACCT-528",NA,NA,NA,NA,NA,NA,NA,0.33,NA,0.53,NA,NA,NA,NA,NA,NA,2,2.86
"50","ACCT-530",NA,NA,NA,NA,NA,NA,NA,0.82,0.48,NA,NA,0.29,NA,NA,0.07,0.11,NA,1.77
"51","ACCT-532",NA,NA,NA,NA,NA,NA,NA,3.61,0.83,1.1,NA,NA,NA,NA,NA,NA,NA,5.54
"52","ACCT-533",0.22,NA,NA,0.07,NA,0.13,NA,1.39,0.28,0.44,0.17,0.21,NA,NA,NA,NA,NA,2.91
"53","ACCT-537",0.22,NA,NA,NA,NA,NA,NA,3.37,0.76,0.66,NA,0.09,NA,NA,NA,0.1,NA,5.2
"54","ACCT-541",NA,NA,NA,NA,NA,NA,NA,0.41,0.28,NA,NA,0.72,NA,NA,0.57,NA,NA,1.98
"55","ACCT-546",NA,NA,NA,NA,NA,NA,NA,1.07,0.91,0.66,NA,NA,NA,NA,NA,NA,1,3.64
"56","ACCT-547",NA,NA,NA,NA,NA,NA,NA,NA,3.81,NA,NA,NA,NA,NA,NA,NA,NA,3.81
"57","ACCT-548",0.23,NA,NA,NA,NA,NA,NA,NA,2.43,NA,NA,NA,NA,NA,NA,NA,NA,2.66
"58","ACCT-549",NA,NA,NA,NA,NA,NA,NA,1.66,3.12,0.66,NA,NA,NA,NA,NA,NA,1,6.44
"59","ACCT-550T",0.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1.22
"60","ACCT-551T",0.27,NA,NA,NA,NA,NA,NA,0.33,0.76,NA,NA,NA,NA,NA,NA,NA,NA,1.36
"61","ACCT-557",NA,NA,NA,NA,NA,NA,NA,1.07,0.35,0.66,NA,NA,NA,NA,NA,1.38,1,4.46
"62","ACCT-558",NA,NA,NA,NA,NA,NA,NA,1.4,0.35,0.66,NA,NA,NA,NA,NA,NA,NA,2.41
"63","ACCT-559",NA,NA,NA,NA,NA,NA,NA,2.22,4.25,0.66,NA,NA,NA,NA,NA,NA,NA,7.13
"64","ACCT-560T",0.49,NA,NA,NA,NA,NA,NA,1.97,1.27,NA,NA,NA,NA,NA,NA,NA,NA,3.73
"65","ACCT-561T",0.92,NA,NA,NA,NA,NA,NA,0.41,0.35,NA,NA,NA,NA,NA,NA,NA,NA,1.68
"66","ACCT-562",0.22,NA,NA,NA,NA,NA,NA,1.81,NA,0.66,NA,NA,NA,NA,NA,1.38,NA,4.07
"67","ACCT-563T",0.36,NA,NA,NA,NA,NA,NA,0.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1
"68","ACCT-568T",0.56,NA,NA,0.07,NA,0.13,NA,NA,NA,0.53,0.17,0.21,NA,NA,NA,NA,NA,1.67
"69","ACCT-569T",0.71,0.71,NA,NA,NA,NA,NA,0.33,1.46,NA,NA,NA,NA,NA,NA,NA,NA,3.21
"70","ACCT-570T",0.92,NA,NA,NA,NA,NA,NA,0.41,0.35,NA,NA,NA,NA,NA,NA,NA,NA,1.68
"71","ACCT-571T",0.49,NA,NA,0.07,NA,0.13,NA,1.23,0.79,NA,0.17,0.21,NA,NA,NA,NA,NA,3.09
"72","ACCT-572",NA,NA,NA,NA,NA,NA,NA,2.46,NA,1.1,NA,NA,NA,NA,NA,NA,1,4.56
"73","ACCT-573T",0.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.06,NA,1.28
"74","ACCT-574",0.22,NA,NA,NA,NA,NA,NA,2.96,1.1,0.66,NA,NA,0.26,NA,NA,NA,NA,5.2
"75","ACCT-578T",NA,NA,NA,NA,NA,NA,NA,NA,0.35,NA,NA,NA,NA,NA,NA,NA,NA,0.35
"76","ACCT-580T",0.56,NA,NA,NA,NA,NA,NA,NA,0.35,0.53,NA,NA,NA,NA,NA,NA,NA,1.44
"77","ACCT-581",NA,NA,NA,NA,NA,NA,NA,3.12,0.35,1.1,NA,NA,NA,NA,NA,NA,NA,4.57
"78","ACCT-583",0.92,NA,NA,NA,NA,NA,NA,2.05,NA,0.66,NA,NA,NA,NA,NA,NA,NA,3.63
"79","ACCT-584",0.22,NA,NA,NA,NA,NA,NA,0.41,NA,NA,0.81,NA,NA,NA,1.66,NA,NA,3.1
"80","ACCT-585",NA,NA,NA,NA,NA,NA,NA,NA,0.35,NA,NA,NA,NA,NA,NA,NA,2,2.35
"81","ACCT-587",NA,NA,NA,NA,NA,NA,NA,NA,0.63,NA,NA,NA,NA,NA,NA,NA,NA,0.63
"82","ACCT-595",0.27,NA,NA,NA,NA,NA,NA,2.76,0.48,NA,NA,NA,NA,NA,NA,NA,NA,3.51
"83","ACCT-605",NA,NA,NA,NA,NA,NA,NA,1.89,0.48,0.66,NA,NA,NA,NA,NA,NA,1,4.03
"84","ACCT-608",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
"85","ACCT-611",NA,NA,NA,NA,NA,NA,NA,NA,0.35,NA,NA,NA,NA,NA,NA,NA,2,2.35
"86","ACCT-621",NA,NA,NA,NA,NA,NA,NA,NA,0.35,NA,NA,NA,NA,NA,NA,NA,2,2.35
"87","ACMD-501",0.37,NA,NA,NA,NA,NA,NA,0.59,0.42,NA,0.72,NA,NA,NA,NA,NA,1,3.1
"88","ACMD-502",0.73,NA,NA,11.32,NA,NA,NA,0.66,NA,NA,NA,NA,0.26,NA,NA,NA,NA,12.97
"89","ACMD-503",0.73,NA,NA,10.72,NA,NA,NA,NA,NA,NA,NA,NA,0.39,NA,NA,NA,NA,11.84
"90","ACMD-511",0.73,NA,NA,11.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.92
"91","ACMD-514",0.37,NA,NA,0.4,NA,NA,NA,NA,0.28,NA,NA,NA,NA,NA,NA,NA,NA,1.05
"92","ACMD-591",0.73,NA,NA,10.72,NA,NA,NA,0.57,7.36,NA,NA,0.43,NA,NA,NA,NA,3,22.81
"93","ACMD-592",NA,NA,NA,NA,NA,NA,NA,0.57,5.28,NA,NA,0.43,NA,NA,NA,NA,3,9.28
"94","ACMD-604",0.73,NA,NA,19.71,NA,NA,NA,1.07,NA,0.66,NA,NA,NA,NA,NA,NA,NA,22.17
"95","ACMD-605",0.73,NA,NA,17.14,NA,NA,NA,0.59,0.7,NA,NA,NA,NA,NA,NA,NA,1,20.16
"96","ADNT-701",NA,NA,NA,NA,NA,NA,NA,0.59,0.42,NA,NA,NA,NA,NA,NA,NA,2,3.01
"97","ADNT-702",NA,NA,0.42,NA,NA,NA,NA,NA,0.35,NA,NA,NA,NA,NA,NA,NA,NA,0.77
"98","ADNT-703A",NA,NA,NA,0.07,NA,0.13,NA,NA,0.35,NA,0.17,0.21,NA,NA,NA,NA,1,1.93
"99","ADNT-703B",NA,NA,NA,0.07,NA,0.13,NA,NA,0.35,NA,0.17,0.21,NA,NA,NA,NA,1,1.93
"100","ADNT-703C",NA,NA,NA,0.07,NA,0.13,NA,NA,0.35,NA,0.17,0.21,NA,NA,NA,NA,1,1.93
"101","ADNT-703D",NA,NA,NA,0.07,NA,0.13,NA,NA,0.35,NA,0.17,0.21,NA,NA,NA,NA,1,1.93
"102","ADNT-703E",NA,NA,NA,0.07,NA,0.13,NA,NA,0.35,NA,0.17,0.21,NA,NA,NA,NA,1,1.93
"103","ADNT-703F",NA,NA,NA,0.07,NA,0.13,NA,NA,NA,NA,0.17,0.21,NA,NA,NA,NA,1,1.58
"104","ADNT-703H",NA,NA,NA,0.07,NA,0.13,NA,NA,NA,NA,0.17,0.21,NA,NA,NA,NA,1,1.58
"105","ADNT-704A",NA,NA,NA,0.4,NA,NA,NA,1.73,0.77,NA,NA,NA,NA,NA,NA,NA,1,3.9
"106","ADNT-704B",NA,NA,NA,0.4,NA,NA,NA,1.73,0.77,NA,NA,NA,NA,NA,NA,NA,1,3.9
"107","ADNT-706",NA,0.29,3.6,NA,NA,0.34,NA,0.41,NA,NA,NA,0.72,NA,NA,0.57,NA,1,6.93
"108","ADNT-707",NA,NA,NA,NA,0.82,NA,NA,1.73,1.12,NA,NA,NA,NA,NA,NA,NA,1,4.67
"109","ADNT-710",0.36,NA,NA,10.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.08
"110","AEST-100A",NA,NA,NA,NA,NA,NA,NA,NA,1.38,NA,NA,NA,NA,NA,NA,0.2,NA,1.58
"111","AEST-100B",NA,NA,NA,NA,NA,NA,NA,NA,1.86,NA,NA,NA,NA,NA,NA,NA,NA,1.86
"112","AEST-110A",NA,NA,NA,0.6,NA,NA,NA,0.74,NA,NA,NA,0.72,NA,NA,0.57,NA,NA,2.63
"113","AEST-110B",NA,NA,NA,0.6,NA,NA,NA,0.74,NA,NA,NA,0.72,NA,NA,0.57,NA,NA,2.63
"114","AEST-200A",NA,NA,NA,NA,NA,NA,0.79,0.59,1.25,NA,0.57,NA,NA,NA,NA,NA,1,4.2
"115","AEST-200B",NA,NA,NA,NA,NA,NA,0.79,0.59,1.18,NA,0.57,NA,NA,NA,NA,NA,1,4.13
"116","AEST-210A",NA,NA,NA,0.6,NA,NA,NA,0.74,NA,NA,NA,0.72,NA,NA,0.57,NA,NA,2.63
"117","AEST-210B",NA,NA,NA,0.6,NA,NA,NA,0.74,NA,NA,NA,0.72,NA,NA,0.57,NA,NA,2.63
"118","AEST-300A",NA,NA,NA,0.6,NA,NA,NA,0.33,0.83,NA,NA,NA,NA,NA,NA,NA,NA,1.76
"119","AEST-300B",NA,NA,NA,0.6,NA,NA,NA,0.33,0.83,NA,NA,NA,NA,NA,NA,NA,NA,1.76
"120","AEST-310A",NA,NA,NA,0.6,NA,NA,NA,0.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.93
"121","AEST-310B",NA,NA,NA,0.6,NA,NA,NA,0.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.93
"122","AEST-400A",1.59,NA,NA,NA,NA,NA,NA,NA,0.48,0.59,NA,NA,NA,NA,NA,1.03,NA,3.69
"123","AEST-400B",1.59,NA,NA,NA,NA,NA,NA,NA,0.48,0.59,NA,NA,NA,NA,NA,1.03,NA,3.69
"124","AEST-410A",NA,NA,NA,0.6,NA,NA,NA,0.92,0.77,NA,NA,NA,NA,NA,NA,NA,1,3.29
"125","AEST-410B",NA,NA,NA,0.6,NA,NA,NA,0.92,0.77,NA,NA,NA,NA,NA,NA,NA,1,3.29
"126","AHIS-100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.49,NA,NA,NA,NA,NA,NA,0.49
"127","AHIS-120",0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.94,NA,NA,NA,NA,NA,NA,2.84
"128","AHIS-121",1.03,NA,NA,NA,NA,NA,NA,NA,0.28,NA,1.22,NA,NA,NA,NA,NA,NA,2.53
"129","AHIS-125",NA,NA,NA,NA,0.35,NA,NA,NA,NA,0.44,0.65,NA,NA,NA,NA,0.49,NA,1.93
"130","AHIS-128",0.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.49,NA,NA,NA,NA,NA,NA,0.62
"131","AHIS-201",0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.86,NA,NA,NA,NA,NA,NA,2.76
"132","AHIS-215",NA,NA,NA,NA,NA,NA,NA,0.41,NA,NA,NA,0.72,NA,NA,0.57,NA,NA,1.7
"133","AHIS-220",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.81,NA,NA,NA,NA,NA,NA,3.81
"134","AHIS-230",0.28,NA,NA,NA,NA,NA,NA,NA,0.28,NA,2.11,NA,NA,NA,NA,NA,NA,2.67
"135","AHIS-250",NA,NA,NA,NA,NA,NA,NA,NA,0.28,NA,NA,NA,NA,NA,NA,NA,NA,0.28
"136","AHIS-321",NA,NA,NA,NA,NA,NA,NA,NA,0.28,NA,1.87,NA,NA,NA,NA,NA,NA,2.15
"137","AHIS-322",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.59,NA,NA,NA,NA,NA,NA,3.59
"138","AHIS-330",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.37,NA,NA,NA,NA,NA,NA,1.37
"139","AHIS-344",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"140","AHIS-368",NA,NA,NA,NA,NA,NA,NA,NA,0.28,NA,1.37,NA,NA,NA,NA,NA,NA,1.65
"141","AHIS-369",NA,NA,NA,NA,NA,NA,NA,NA,1.44,NA,NA,NA,NA,NA,NA,NA,NA,1.44
"142","AHIS-370",0.9,NA,NA,NA,NA,NA,NA,NA,0.28,NA,NA,NA,NA,NA,NA,1.03,1,3.21
"143","AHIS-373",NA,NA,NA,NA,NA,NA,NA,NA,1.25,NA,1.06,NA,NA,NA,NA,NA,NA,2.31
"144","AHIS-387",NA,NA,NA,NA,NA,NA,NA,NA,0.83,NA,0.65,NA,NA,NA,NA,NA,NA,1.48
"145","AHIS-453",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"146","AHIS-460",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"147","AHIS-465",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.57,NA,NA,NA,NA,NA,NA,0.57
"148","AHIS-467",NA,NA,NA,NA,NA,NA,NA,1.39,NA,0.44,3.92,NA,NA,NA,NA,NA,NA,5.75
"149","AHIS-470",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"150","AHIS-477",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.49,NA,NA,NA,NA,NA,NA,0.49
"151","AHIS-481",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"152","AHIS-486",0.13,NA,NA,NA,NA,NA,NA,NA,0.14,NA,0.98,0.07,NA,NA,NA,NA,NA,1.32
"153","AHIS-494",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.57,NA,NA,NA,NA,NA,2,2.57
"154","AHIS-496",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.73,NA,NA,NA,NA,NA,NA,0.73
"155","AHIS-500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.57,NA,NA,NA,NA,NA,NA,0.57
"156","AHIS-518",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
"157","AHIS-590",NA,NA,NA,NA,NA,NA,NA,NA,0.48,NA,NA,NA,NA,NA,NA,NA,1,1.48
"158","ALI-224",NA,NA,NA,NA,NA,NA,NA,1.39,NA,0.44,NA,NA,NA,NA,NA,NA,NA,1.83
"159","ALI-225",NA,NA,NA,NA,NA,NA,NA,1.39,NA,0.44,NA,NA,NA,NA,NA,NA,1,2.83
"160","ALI-234",NA,NA,NA,NA,NA,NA,NA,1.39,NA,0.44,NA,NA,NA,NA,NA,NA,NA,1.83
"161","ALI-235",NA,NA,NA,NA,NA,NA,NA,1.39,NA,0.44,NA,NA,NA,NA,NA,NA,1,2.83
"162","ALI-242",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"163","ALI-244",NA,NA,NA,NA,NA,NA,NA,1.39,NA,0.44,NA,NA,NA,NA,NA,NA,NA,1.83
"164","ALI-245",NA,NA,NA,NA,NA,NA,NA,1.39,NA,0.44,NA,NA,NA,NA,NA,NA,1,2.83
"165","ALI-246",NA,NA,NA,NA,NA,NA,NA,NA,0.35,NA,NA,NA,NA,NA,NA,NA,NA,0.35
"166","ALI-252",NA,NA,NA,NA,NA,NA,NA,NA,0.35,NA,NA,NA,NA,NA,NA,NA,NA,0.35
"167","ALI-254",NA,NA,NA,NA,NA,NA,NA,NA,0.35,NA,NA,NA,NA,NA,NA,NA,NA,0.35
"168","ALI-255",NA,NA,NA,NA,NA,NA,NA,NA,0.35,NA,NA,NA,NA,NA,NA,NA,1,1.35
"169","ALI-256",NA,NA,NA,NA,NA,NA,NA,NA,0.35,NA,NA,NA,NA,NA,NA,NA,NA,0.35
"170","ALI-270",NA,NA,NA,0.47,NA,NA,NA,NA,0.7,NA,NA,NA,NA,NA,NA,NA,NA,1.17
"171","ALI-271",NA,NA,NA,0.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.47
"172","ALI-274",NA,NA,NA,NA,NA,NA,NA,NA,0.35,NA,NA,NA,NA,NA,NA,NA,NA,0.35
"173","ALI-275",NA,NA,NA,NA,NA,NA,NA,NA,0.35,NA,NA,NA,NA,NA,NA,NA,2,2.35
"174","ALI-276",NA,NA,NA,0.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.47
"175","AME-101",NA,NA,NA,0.87,NA,NA,NA,NA,1.67,NA,NA,NA,NA,NA,NA,NA,NA,2.54
"176","AME-105",NA,NA,NA,NA,NA,0.4,NA,NA,1.94,NA,NA,0.36,1.59,NA,NA,NA,NA,4.29
"177","AME-201",NA,NA,NA,NA,NA,NA,6.93,NA,0.62,NA,NA,NA,1.79,NA,NA,NA,NA,9.34
"178","AME-204",NA,NA,NA,NA,NA,NA,6.93,0.33,1.79,NA,NA,0.5,1.79,NA,NA,NA,NA,11.34
"179","AME-231",NA,NA,NA,NA,NA,NA,0.3,0.33,2.01,NA,NA,0.5,NA,NA,NA,NA,NA,3.14
"180","AME-301",NA,NA,NA,NA,NA,NA,NA,NA,0.62,NA,NA,NA,NA,NA,NA,NA,NA,0.62
"181","AME-302",NA,NA,NA,NA,NA,NA,NA,NA,1.45,NA,NA,NA,NA,NA,NA,NA,NA,1.45
"182","AME-305",NA,NA,NA,NA,NA,NA,NA,NA,1.11,NA,NA,NA,NA,NA,NA,NA,NA,1.11
"183","AME-308",NA,NA,NA,NA,NA,NA,NA,NA,1.11,NA,NA,NA,NA,NA,NA,NA,NA,1.11
"184","AME-309",NA,0.57,NA,NA,NA,0.34,6.93,0.66,NA,NA,NA,1,2.17,3.15,13.36,NA,NA,28.18
"185","AME-310",NA,NA,NA,NA,NA,1,6.93,NA,1.59,NA,NA,0.36,3.64,0.32,NA,NA,NA,13.84
"186","AME-312",NA,NA,NA,0.47,NA,NA,0.79,NA,0.76,NA,NA,NA,NA,NA,NA,NA,NA,2.02
"187","AME-331",NA,NA,NA,NA,NA,0.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.47
"188","AME-341A",NA,NA,NA,NA,NA,NA,NA,NA,1.11,NA,NA,NA,NA,NA,NA,NA,NA,1.11
"189","AME-341B",NA,NA,NA,NA,NA,NA,NA,NA,1.11,NA,NA,NA,NA,NA,NA,NA,NA,1.11
"190","AME-403",NA,NA,NA,NA,NA,NA,6.93,0.33,NA,NA,NA,NA,1.79,NA,NA,NA,NA,9.05
"191","AME-404",NA,NA,NA,0.47,NA,NA,NA,NA,2.36,NA,NA,NA,NA,NA,NA,NA,NA,2.83
"192","AME-405",NA,NA,NA,0.47,NA,NA,0.45,NA,1.24,NA,NA,NA,NA,NA,NA,NA,NA,2.16
"193","AME-408",NA,NA,NA,NA,NA,0.54,NA,0.88,14.16,NA,NA,NA,NA,NA,NA,NA,NA,15.58
"194","AME-409",NA,NA,NA,NA,NA,NA,NA,NA,0.83,NA,NA,NA,NA,NA,NA,NA,1,1.83
"195","AME-410",NA,NA,NA,0.07,NA,0.13,NA,NA,2.36,NA,0.17,0.21,NA,NA,NA,NA,NA,2.94
"196","AME-415",NA,NA,NA,NA,NA,NA,4.41,0.59,1.25,NA,NA,NA,NA,NA,NA,NA,1,7.25
"197","AME-420",NA,NA,NA,NA,NA,NA,NA,NA,1.38,NA,NA,NA,NA,NA,NA,2.33,NA,3.71
"198","AME-430",NA,NA,NA,NA,NA,3.19,6.55,1.8,1.73,NA,0.95,2,7.4,1.55,NA,NA,NA,25.17
"199","AME-436",NA,NA,NA,NA,NA,0.47,9.43,1.68,0.9,NA,NA,3.03,4.33,0.39,1.79,NA,NA,22.02
"200","AME-441A",NA,NA,NA,NA,NA,NA,NA,NA,1.11,NA,NA,NA,NA,NA,NA,NA,NA,1.11
"201","AME-441B",NA,NA,NA,NA,NA,NA,NA,NA,1.11,NA,NA,NA,NA,NA,NA,NA,NA,1.11
"202","AME-443",NA,NA,NA,NA,NA,NA,NA,NA,1.8,NA,NA,NA,NA,NA,NA,NA,NA,1.8
"203","AME-451",NA,NA,NA,NA,NA,NA,NA,1.39,1.45,0.44,NA,NA,NA,NA,NA,NA,NA,3.28
"204","AME-457",NA,NA,NA,NA,NA,NA,NA,NA,0.76,NA,NA,NA,NA,NA,NA,NA,NA,0.76
"205","AME-459",NA,NA,NA,NA,NA,NA,0.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.79
"206","AME-460",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
