"","classes","sdg1_weight","sdg2_weight","sdg3_weight","sdg4_weight","sdg5_weight","sdg6_weight","sdg7_weight","sdg8_weight","sdg9_weight","sdg10_weight","sdg11_weight","sdg12_weight","sdg13_weight","sdg14_weight","sdg15_weight","sdg16_weight","sdg17_weight","total_weight"
"3673","PHED-150",NA,NA,NA,NA,NA,NA,NA,NA,0.28,NA,NA,NA,NA,NA,NA,NA,NA,0.28
"3674","PHED-153",NA,NA,NA,NA,NA,NA,NA,NA,0.28,NA,NA,NA,NA,NA,NA,NA,NA,0.28
"3675","PHED-154A",NA,NA,NA,NA,NA,NA,NA,0.59,0.77,NA,NA,NA,NA,NA,NA,NA,1,2.36
"3676","PHED-154B",NA,NA,NA,NA,NA,NA,NA,0.59,0.77,NA,NA,NA,NA,NA,NA,NA,1,2.36
"3677","PHED-155A",NA,NA,NA,NA,NA,NA,NA,0.59,0.7,NA,0.57,NA,NA,NA,NA,NA,1,2.86
"3678","PHED-155B",NA,NA,NA,NA,NA,NA,NA,0.59,0.7,NA,NA,NA,NA,NA,NA,NA,1,2.29
"3679","PHED-156A",NA,NA,NA,NA,NA,NA,NA,0.59,0.42,NA,0.57,NA,NA,NA,NA,NA,1,2.58
"3680","PHED-156B",NA,NA,NA,NA,NA,NA,NA,0.59,1.05,NA,NA,NA,NA,NA,NA,NA,1,2.64
"3681","PHED-160",NA,NA,NA,0.6,NA,NA,NA,0.33,0.76,NA,NA,NA,NA,NA,NA,NA,NA,1.69
"3682","PHED-161",0.47,NA,NA,11.12,0.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.41
"3683","PHED-162",NA,NA,NA,0.6,NA,NA,NA,0.33,0.28,NA,NA,NA,NA,NA,NA,NA,NA,1.21
"3684","PHED-163",0.37,NA,NA,0.4,NA,NA,NA,NA,0.63,NA,NA,0.14,0.39,NA,NA,NA,NA,1.93
"3685","PHED-165",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"3686","PHIL-102",NA,NA,NA,NA,NA,NA,NA,NA,0.56,NA,1.37,NA,NA,NA,NA,NA,NA,1.93
"3687","PHIL-110",NA,NA,NA,NA,NA,NA,NA,NA,0.28,NA,NA,NA,NA,NA,NA,1.03,NA,1.31
"3688","PHIL-120",NA,NA,NA,NA,NA,NA,NA,1.39,0.28,0.44,NA,NA,NA,NA,NA,NA,NA,2.11
"3689","PHIL-122A",NA,NA,NA,NA,NA,NA,NA,1.39,NA,0.44,NA,NA,NA,NA,NA,NA,NA,1.83
"3690","PHIL-122B",NA,NA,NA,NA,NA,NA,NA,1.39,NA,0.44,NA,NA,NA,NA,NA,NA,NA,1.83
"3691","PHIL-166",1.84,NA,NA,NA,4.79,NA,NA,4.6,0.28,4.97,NA,NA,NA,NA,NA,8.49,1,25.97
"3692","PHIL-168",NA,NA,NA,NA,NA,NA,NA,1.39,NA,0.44,NA,NA,NA,NA,NA,NA,NA,1.83
"3693","PHIL-174",1.48,NA,NA,NA,1.71,NA,NA,NA,NA,2.96,NA,NA,NA,NA,0.43,3.41,NA,9.99
"3694","PHIL-178",0.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.93,NA,1.06
"3695","PHIL-222",NA,NA,NA,0.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.47
"3696","PHIL-236",NA,NA,NA,NA,NA,NA,NA,NA,0.14,NA,NA,0.07,NA,NA,NA,NA,NA,0.21
"3697","PHIL-240",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"3698","PHIL-246",NA,NA,NA,0.4,NA,NA,NA,NA,0.35,NA,NA,NA,NA,NA,NA,NA,1,1.75
